candidate_count,scenario,p_safe,replicates,reserve_probability,reserve_ci95_low,reserve_ci95_high,selected_gate_probability_given_reserve,unconditional_selected_qualification_probability,unconditional_selected_ci95_low,unconditional_selected_ci95_high,candidate_and_selected_joint_probability,candidate_gate_and_reserve_probability,inference_aligned_selected_probability_given_reserve,unconditional_inference_aligned_qualification_probability,candidate_and_inference_aligned_joint_probability,selected_pass_given_full_candidate_failure,selected_pass_given_candidate_condition_failure,selected_rank_pass_given_reserve,selected_effective_rank_pass_given_reserve,selected_condition_pass_given_reserve,selected_pair_cosine_pass_given_reserve,selected_cross_block_spread_pass_given_reserve
19,INDEPENDENT,0.8,20000,0.99815,0.9974512113609938,0.9986574631163091,0.7232880829534639,0.72195,0.7156984494751465,0.7281163057195487,0.37125,0.471,0.9723488453639233,0.97055,0.4669,0.6652755382718392,0.665306896878854,1.0,0.9723989380353655,0.7307518909983469,0.9999499073285578,1.0
19,INDEPENDENT,0.85,20000,0.9999,0.9996354263863794,0.9999725759647273,0.7236723672367237,0.7236,0.7173595097061354,0.7297546117695746,0.36935,0.4716,0.9741474147414741,0.97405,0.46795,0.6705470376679916,0.670579326012874,1.0,0.9741974197419742,0.7309730973097309,0.9999499949995,1.0
19,INDEPENDENT,0.9,20000,1.0,0.9998079639438954,0.9999999999999999,0.7222,0.7222,0.7159501185142758,0.7283645406623911,0.3717,0.47165,0.9745,0.9745,0.4685,0.6633860130595249,0.6634169427354473,1.0,0.97455,0.73015,0.9999,1.0
19,WEAK_AXIS4,0.6,20000,0.8116,0.8061210344864249,0.8169592886434107,0.7225850172498768,0.58645,0.5796088773651327,0.5932579196007668,0.2997,0.38045,0.9761582060128142,0.79225,0.3781,0.6650817580888322,0.6651200556779956,1.0,0.976343026121242,0.728437654016757,0.9998151798915722,1.0
19,WEAK_AXIS4,0.65,20000,0.91155,0.9075353024422983,0.915406632679922,0.7231638418079096,0.6592,0.6526011050927595,0.6657377506269767,0.33895,0.4297,0.976194394163787,0.88985,0.4269,0.6646259209297499,0.6646600934094448,1.0,0.9763040974164884,0.7293072239591903,0.9998354451209478,1.0
19,WEAK_AXIS4,0.7,20000,0.96815,0.9656250161856181,0.970495180455051,0.7293291328823013,0.7061,0.6997474644854521,0.7123733782522214,0.3621,0.45685,0.9746940040283014,0.94365,0.4536,0.6727948366907882,0.6728286384976526,1.0,0.9748489386975159,0.7354232298714042,0.9997934204410474,1.0
19,WEAK_AXIS4,0.75,20000,0.9918,0.990452279883063,0.9929588334521525,0.7306412583182094,0.72465,0.7184166028874043,0.730797115312588,0.37,0.46795,0.975095785440613,0.9671,0.4647,0.6770067767490694,0.6770405727923627,1.0,0.975247025610002,0.7370437588223432,0.9998487598306111,1.0
19,WEAK_AXIS4,0.775,20000,0.9962,0.995246781717087,0.9969626417008347,0.7268620758883758,0.7241,0.7178628820779246,0.7302510473617293,0.3704,0.4701,0.9751054005219836,0.9714,0.4664,0.6723056453145789,0.6723384030418251,1.0,0.9752057819714917,0.7334872515559124,0.9998996185504919,1.0
19,WEAK_AXIS4,0.8,20000,0.99855,0.9979183363699895,0.9989901844784685,0.7283561163687347,0.7273,0.7210846955801422,0.7334280048287525,0.37205,0.47105,0.9752641329928396,0.97385,0.46795,0.6734597156398104,0.6734926052332195,1.0,0.9753642782033949,0.7351159180812178,0.9998998547894447,1.0
19,WEAK_AXIS4,0.85,20000,0.99985,0.9995590363727073,0.999948985182005,0.7296594489173376,0.72955,0.7233502733604726,0.7356615628861698,0.37175,0.47155,0.976896534480172,0.97675,0.4687,0.6772667045239448,0.677300265051117,1.0,0.9770465569835476,0.736010401560234,0.9998499774966245,1.0
19,WEAK_AXIS4,0.9,20000,1.0,0.9998079639438954,0.9999999999999999,0.72865,0.72865,0.7224440183281962,0.7347681635833472,0.3715,0.47165,0.97565,0.97565,0.4683,0.6759723668023091,0.6761003312825367,1.0,0.97585,0.7354,0.9998,1.0
19,MODERATE_AXIS4,0.6,20000,0.80915,0.8036446300478278,0.8145366340586827,0.7216832478526849,0.58395,0.5771033676011736,0.5907643895450063,0.29915,0.38225,0.975344497311994,0.7892,0.37895,0.6671351604591239,0.6671743205248359,1.0,0.9754062905518136,0.728604090712476,0.9999382067601804,1.0
19,MODERATE_AXIS4,0.65,20000,0.90915,0.9050880082000607,0.9130548486952288,0.7219930704504207,0.6564,0.6497887400057512,0.6629511911158992,0.33605,0.4287,0.9749766265192763,0.8864,0.4251,0.6667707357685503,0.6668054543561986,1.0,0.9750316229445086,0.7286476379035363,0.9999450035747677,1.0
19,MODERATE_AXIS4,0.7,20000,0.9659,0.9632939587502195,0.9683271020527021,0.7222797391034269,0.69765,0.6912474179408975,0.7039766702061244,0.3564,0.45575,0.9737550471063257,0.94055,0.45245,0.6689209056159953,0.6690520537202235,1.0,0.9738068122994099,0.7297856921006315,0.9998964696138316,1.0
19,MODERATE_AXIS4,0.75,20000,0.9905,0.9890582590131506,0.9917533536158109,0.723876829883897,0.717,0.710715895579379,0.7232007607722716,0.3663,0.467,0.9746592629984856,0.9654,0.46375,0.6699140401146132,0.6700420328620558,1.0,0.9747097425542656,0.7312973245835437,0.9998990408884402,1.0
19,MODERATE_AXIS4,0.775,20000,0.99535,0.994307318008138,0.996202431871079,0.7239664439644347,0.7206,0.714339478204133,0.7267757954879137,0.369,0.4693,0.9745315718089115,0.97,0.4658,0.6683775306529798,0.6685046107044396,1.0,0.9745818053950872,0.730999146029035,0.9998995328276485,1.0
19,MODERATE_AXIS4,0.8,20000,0.99795,0.9972203323503435,0.9984884189413819,0.7227817024901048,0.7213,0.7150441212325819,0.7274708836089864,0.3711,0.47055,0.9742973094844432,0.9723,0.4671,0.664012135001896,0.6641380618243884,1.0,0.9743474121949998,0.7300465955208176,0.9998496918683301,1.0
19,MODERATE_AXIS4,0.85,20000,0.9998,0.9994858195143681,0.9999222212439498,0.7256451290258051,0.7255,0.7192723763585248,0.7316410153801721,0.37515,0.47155,0.9747949589917984,0.9746,0.46815,0.6632276384287743,0.6633532140490391,1.0,0.9748949789957991,0.7325965193038608,0.9998499699939988,1.0
19,MODERATE_AXIS4,0.9,20000,0.99995,0.9997168094297738,0.9999911737177268,0.7238361918095905,0.7238,0.71756085749227,0.7299531871690175,0.3739,0.4716,0.9734986749337466,0.97345,0.4683,0.6622504021955143,0.6623757690487458,1.0,0.9736486824341217,0.7315865793289664,0.9997999899994999,1.0
19,ADVERSARIAL_AXIS4_TOP10,NA,20000,1.0,1.0,1.0,0.72025,0.72025,0.7139871637373426,0.7264282443799431,0.3725,0.47165,0.97355,0.97355,0.4684,0.6581811299328096,0.6581164221486039,1.0,0.9736,0.72785,0.99995,1.0
22,INDEPENDENT,0.6,20000,0.9419,0.938572261320851,0.9450580172127635,0.7227412676504937,0.68075,0.6742549262676105,0.6871756526981077,0.5031,0.66645,0.9731393990869519,0.9166,0.65645,0.6449446360500999,0.6450381679389313,1.0,0.9732986516615352,0.7301199702728527,0.9998407474254167,1.0
