metric,primary,audit,absolute_difference
D.15.21,0.03333333333333333,0.03333333333333333,0.0
D.15.22,0.025,0.025,0.0
D.15.23,0.008333333333333333,0.008333333333333333,0.0
D.15.3,0.025,0.025,0.0
D.15.4,0.0,0.0,0.0
D.15.5,0.03333333333333333,0.03333333333333333,0.0
D.15.6,0.06666666666666667,0.06666666666666667,0.0
D.15.7,0.016666666666666666,0.016666666666666666,0.0
D.15.8,0.03333333333333333,0.03333333333333333,0.0
D.15.9,0.008333333333333333,0.008333333333333333,0.0
D.16.0,-0.008333333333333333,-0.008333333333333333,0.0
D.16.1,-0.008333333333333333,-0.008333333333333333,0.0
D.16.10,0.025,0.025,0.0
D.16.11,0.016666666666666666,0.016666666666666666,0.0
D.16.12,-0.016666666666666666,-0.016666666666666666,0.0
D.16.13,0.008333333333333333,0.008333333333333333,0.0
D.16.14,0.03333333333333333,0.03333333333333333,0.0
D.16.15,0.016666666666666666,0.016666666666666666,0.0
D.16.16,0.0,0.0,0.0
D.16.17,0.025,0.025,0.0
D.16.18,0.016666666666666666,0.016666666666666666,0.0
D.16.19,-0.008333333333333333,-0.008333333333333333,0.0
D.16.2,0.0,0.0,0.0
D.16.20,0.016666666666666666,0.016666666666666666,0.0
D.16.21,0.0,0.0,0.0
D.16.22,0.0,0.0,0.0
D.16.23,0.008333333333333333,0.008333333333333333,0.0
D.16.3,-0.008333333333333333,-0.008333333333333333,0.0
D.16.4,0.008333333333333333,0.008333333333333333,0.0
D.16.5,0.0,0.0,0.0
D.16.6,0.008333333333333333,0.008333333333333333,0.0
D.16.7,0.025,0.025,0.0
D.16.8,0.008333333333333333,0.008333333333333333,0.0
D.16.9,0.0,0.0,0.0
D.17.0,0.025,0.025,0.0
D.17.1,0.016666666666666666,0.016666666666666666,0.0
D.17.10,0.041666666666666664,0.041666666666666664,0.0
D.17.11,0.016666666666666666,0.016666666666666666,0.0
D.17.12,0.016666666666666666,0.016666666666666666,0.0
D.17.13,0.016666666666666666,0.016666666666666666,0.0
D.17.14,0.025,0.025,0.0
D.17.15,0.025,0.025,0.0
D.17.16,0.025,0.025,0.0
D.17.17,0.0,0.0,0.0
D.17.18,0.025,0.025,0.0
D.17.19,0.025,0.025,0.0
D.17.2,0.03333333333333333,0.03333333333333333,0.0
D.17.20,0.025,0.025,0.0
D.17.21,0.03333333333333333,0.03333333333333333,0.0
D.17.22,0.025,0.025,0.0
D.17.23,0.008333333333333333,0.008333333333333333,0.0
D.17.3,0.03333333333333333,0.03333333333333333,0.0
D.17.4,0.016666666666666666,0.016666666666666666,0.0
D.17.5,0.008333333333333333,0.008333333333333333,0.0
D.17.6,0.05,0.05,0.0
D.17.7,0.025,0.025,0.0
