design,independent_units,raw_rows,rollouts,random_controls,transfer_fraction,within_family_rho,se_multiplier,effective_units,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability,joint_probability_monte_carlo_se
C_ONE_ROW_PER_FAMILY,100,100,4,8,0.5,,1.0,100.0,100000,0.03499960839599004,0.019355028195488726,0.06117505088010684,0.0508968282156022,0.61219,0.31891,0.41312,0.83541,0.17544,0.0012027502084805473
C_ONE_ROW_PER_FAMILY,100,100,4,8,0.75,,1.0,100.0,100000,0.0446771224937344,0.02903254229323309,0.06117505088010684,0.0508968282156022,0.81656,0.60856,0.61545,0.96709,0.4433,0.0015709395596266587
C_ONE_ROW_PER_FAMILY,100,100,4,8,1.0,,1.0,100.0,100000,0.05435463659147877,0.03871005639097745,0.06117505088010684,0.0508968282156022,0.93463,0.84687,0.78939,0.99618,0.70959,0.0014355209225225523
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.0,0.0,0.659545297913646,229.8850574712643,100000,0.015644580200501315,0.0,0.040347717157602526,0.03356876372831902,0.32806,0.02553,0.08812,0.21974,0.00262,0.0001616519594684828
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.5,0.0,0.659545297913646,229.8850574712643,100000,0.03499960839599004,0.019355028195488726,0.040347717157602526,0.03356876372831902,0.92683,0.619,0.58453,0.97217,0.4332,0.0015669644539682448
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.75,0.0,0.659545297913646,229.8850574712643,100000,0.0446771224937344,0.02903254229323309,0.040347717157602526,0.03356876372831902,0.99194,0.92192,0.83301,0.99911,0.79309,0.0012810083992698877
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,1.0,0.0,0.659545297913646,229.8850574712643,100000,0.05435463659147877,0.03871005639097745,0.040347717157602526,0.03356876372831902,0.99957,0.99496,0.95685,1.0,0.95384,0.0006635454347669041
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.0,0.25,0.7591113225344489,173.53579175704985,100000,0.015644580200501315,0.0,0.046438673779710116,0.03863635857955444,0.25987,0.02459,0.09335,0.20389,0.0023,0.00015148300234679797
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.5,0.25,0.7591113225344489,173.53579175704985,100000,0.03499960839599004,0.019355028195488726,0.046438673779710116,0.03863635857955444,0.84075,0.49989,0.51846,0.94353,0.32934,0.0014861869478635587
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.75,0.25,0.7591113225344489,173.53579175704985,100000,0.0446771224937344,0.02903254229323309,0.046438673779710116,0.03863635857955444,0.96524,0.83818,0.76357,0.99635,0.68539,0.0014684364061817588
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,1.0,0.25,0.7591113225344489,173.53579175704985,100000,0.05435463659147877,0.03871005639097745,0.046438673779710116,0.03863635857955444,0.9955,0.97623,0.91598,0.99976,0.90208,0.0009398493155820246
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.0,0.5,0.8470537173048709,139.37282229965155,100000,0.015644580200501315,0.0,0.05181855425430912,0.04311234753905328,0.22175,0.02551,0.09677,0.19411,0.00237,0.0001537655065351134
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.5,0.5,0.8470537173048709,139.37282229965155,100000,0.03499960839599004,0.019355028195488726,0.05181855425430912,0.04311234753905328,0.75218,0.41848,0.47043,0.90969,0.25983,0.0013867889929617988
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.75,0.5,0.8470537173048709,139.37282229965155,100000,0.0446771224937344,0.02903254229323309,0.05181855425430912,0.04311234753905328,0.9219,0.75028,0.70487,0.98952,0.58879,0.0015560087914276064
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,1.0,0.5,0.8470537173048709,139.37282229965155,100000,0.05435463659147877,0.03871005639097745,0.05181855425430912,0.04311234753905328,0.98487,0.94014,0.8731,0.99945,0.84019,0.001158752622003506
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.0,0.75,0.9266876496425319,116.44832605531295,100000,0.015644580200501315,0.0,0.05669016411684852,0.04716546211337611,0.19224,0.02565,0.10015,0.18377,0.00232,0.00015213867358433226
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.5,0.75,0.9266876496425319,116.44832605531295,100000,0.03499960839599004,0.019355028195488726,0.05669016411684852,0.04716546211337611,0.67559,0.36482,0.43817,0.87435,0.21282,0.001294324718144562
B_EQUAL_FAMILY_ALL_ROWS,100,239,4,8,0.75,0.75,0.9266876496425319,116.44832605531295,100000,0.0446771224937344,0.02903254229323309,0.05669016411684852,0.04716546211337611,0.8699,0.67559,0.65741,0.98002,0.51034,0.0015808006971152308
