scenario,seed_regime,discordance,gain,N,R,t_power,signflip_power,t_ci_coverage,mean_half_width,mean_estimate,degenerate_fraction,utility_trajectories_max,full_bank_trajectories,expected_generated_tokens_utility,expected_storage_bytes_utility,observed_rate_hours_utility,frozen_p50_hours_utility,frozen_p80_hours_utility,frozen_p95_hours_utility,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.2,0.02,500,4,0.6394,0.6394,0.9514,0.0195965952919165,0.0199533,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,800,4,0.8092,0.8092,0.9464,0.015484489064754425,0.02006875,0.0,6400,25600,127209.99999999999,42656003.333333336,3.1411383233889807,3.2533333333333334,3.683333333333333,4.15,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,1000,4,0.8803,0.8804,0.9508,0.013840141057230216,0.019913325,0.0,8000,32000,159012.5,53320004.166666664,3.926422904236226,4.066666666666666,4.604166666666667,5.1875,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,1200,4,0.9291,0.9291,0.9501,0.012633976022770388,0.019909541666666666,0.0,9600,38400,190815.0,63984005.0,4.711707485083472,4.88,5.525,6.225,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,23,6,0.1298,0.1298,0.9505,0.07794988201407921,0.02038695652173913,0.0,276,1104,5485.93125,1839540.14375,0.1354615901961498,0.14029999999999998,0.15884375,0.17896874999999998,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,100,6,0.292,0.292,0.9488,0.036102399513767536,0.019978333333333334,0.0,1200,4800,23851.875,7998000.625,0.588963435635434,0.61,0.690625,0.778125,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,250,6,0.5367,0.5369,0.9446,0.02271574885953637,0.020076533333333334,0.0,3000,12000,59629.68749999999,19995001.5625,1.4724085890885847,1.525,1.7265625,1.9453125,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,400,6,0.7035,0.7035,0.95,0.01791591110392657,0.019905541666666665,0.0,4800,19200,95407.5,31992002.5,2.355853742541736,2.44,2.7625,3.1125,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,500,6,0.7922,0.7922,0.9493,0.01603288323786447,0.019951366666666668,0.0,6000,24000,119259.37499999999,39990003.125,2.9448171781771695,3.05,3.453125,3.890625,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,800,6,0.9294,0.9294,0.9479,0.012660110980718375,0.020037979166666667,0.0,9600,38400,190815.0,63984005.0,4.711707485083472,4.88,5.525,6.225,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,1000,6,0.9625,0.9625,0.9477,0.011322194952019107,0.01989085,0.0,12000,48000,238518.74999999997,79980006.25,5.889634356354339,6.1,6.90625,7.78125,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,1200,6,0.9851,0.9851,0.9509,0.010337040973390874,0.019941069444444445,0.0,14400,57600,286222.5,95976007.5,7.067561227625207,7.32,8.2875,9.3375,0.01999999999999999,0.18253690646612322,0.6101150000000001
REGULAR,INDEPENDENT,0.2,0.02,23,8,0.1479,0.1479,0.9508,0.06741709826294986,0.020357065217391303,0.0,368,1472,7314.575,2452720.1916666664,0.18061545359486642,0.18706666666666666,0.21179166666666668,0.23862499999999998,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,100,8,0.3554,0.3555,0.9496,0.03133293106837694,0.020227,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,250,8,0.6363,0.6363,0.9496,0.019655227924725287,0.02000915,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,400,8,0.8126,0.8126,0.9492,0.015524610046428751,0.020059375,0.0,6400,25600,127209.99999999999,42656003.333333336,3.1411383233889807,3.2533333333333334,3.683333333333333,4.15,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,500,8,0.8774,0.8774,0.9547,0.013892178725863517,0.019887975,0.0,8000,32000,159012.5,53320004.166666664,3.926422904236226,4.066666666666666,4.604166666666667,5.1875,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,800,8,0.973,0.973,0.95,0.010963057632981556,0.020011171875,0.0,12800,51200,254419.99999999997,85312006.66666667,6.282276646777961,6.506666666666667,7.366666666666666,8.3,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,1000,8,0.9907,0.9907,0.9472,0.009808489026170259,0.020049200000000003,0.0,16000,64000,318025.0,106640008.33333333,7.852845808472452,8.133333333333333,9.208333333333334,10.375,0.020000000000000004,0.15809164668001913,0.6707949999999999
REGULAR,INDEPENDENT,0.2,0.02,1200,8,0.9978,0.9979,0.9524,0.00895225095741381,0.020101802083333332,0.0,19200,76800,381630.0,127968010.0,9.423414970166943,9.76,11.05,12.45,0.020000000000000004,0.15809164668001913,0.6707949999999999
