K,candidate_count,bank_index,effect,target_rho,achieved_latent_rho,replicates,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
16,34,4,RHO_0_15,0.15,0.1535984233848841,75,0.1525414625255607,0.09631475551982985,0.05179099371357585,0.14526242208671059,0.09347142837313474,0.88,0.03752332607858744,1.0,0.07827899008089649
16,34,4,HALF_PRIOR_A0,0.2819091742016503,0.2852166764025011,75,0.2735103819397323,0.16714247111113784,0.10688312424596592,0.21670212889063725,0.10981900464467133,1.0,0.0,1.0,0.15104913028006248
16,34,5,NULL,0.0,-0.0006763946336867737,75,-0.0011584718477040147,0.0025240580465728238,-0.040336774214533765,0.036027113997791876,0.07636388821232565,0.0,0.0,0.26666666666666666,-0.014788454981532343
16,34,5,QUARTER_PRIOR_A0,0.14095458710082515,0.13756153735708487,75,0.13406619318386698,0.08099159774005439,0.019961118909456968,0.13311353304100554,0.11315241413154857,0.72,0.05184592558726288,0.9733333333333334,0.06412236392869873
16,34,5,RHO_0_15,0.15,0.1509681746392333,75,0.144500801485354,0.09359495144799918,0.04983679739301475,0.13425846962819601,0.08442167223518127,0.96,0.02262741699796953,1.0,0.07602414646177857
16,34,5,HALF_PRIOR_A0,0.2819091742016503,0.28738776746500516,75,0.2792568693359244,0.16747194675525598,0.11589467961054808,0.22726731918689475,0.11137263957634666,1.0,0.0,1.0,0.15153535053336986
16,34,6,NULL,0.0,0.023227438924849197,75,0.021102174467462976,0.017497982138270064,-0.022742310783735856,0.059264878326778875,0.08200718911051473,0.18666666666666668,0.0449921803905556,0.56,0.002124692702603934
16,34,6,QUARTER_PRIOR_A0,0.14095458710082515,0.13826379587397308,75,0.1321783440952001,0.08316141435900329,0.03687129043911243,0.14032854429095806,0.10345725385184563,0.92,0.03132624033192194,1.0,0.06680055561134865
16,34,6,RHO_0_15,0.15,0.1452294411631077,75,0.13960798810458058,0.08318401020091139,0.02399490732156134,0.13796348365645,0.11396857633488866,0.8,0.04618802153517006,1.0,0.06641951434802705
16,34,6,HALF_PRIOR_A0,0.2819091742016503,0.2860877877234079,75,0.2774484685893137,0.16442563066862664,0.10843806724445758,0.21543611810432295,0.10699805085986537,1.0,0.0,1.0,0.1447607056966491
16,34,7,NULL,0.0,-0.0008081725937246157,75,-0.0025508390846873358,-0.005181297244126102,-0.06110907560299924,0.04007165508741443,0.10118073069041367,0.02666666666666667,0.01860306625462787,0.21333333333333335,-0.02046822644823475
16,34,7,QUARTER_PRIOR_A0,0.14095458710082515,0.13739710993232124,75,0.135985897135829,0.08588512760036549,0.029585989389747474,0.1401047975042358,0.11051880811448832,0.7866666666666666,0.04730359002897803,0.9733333333333334,0.07035626168056201
16,34,7,RHO_0_15,0.15,0.14846459008203672,75,0.14367397870441945,0.09222016401666264,0.053517483244212224,0.1427920366019328,0.08927455335772057,0.9466666666666667,0.025945812478802534,0.9866666666666667,0.07548324468940941
16,34,7,HALF_PRIOR_A0,0.2819091742016503,0.2827396441208345,75,0.27363645542200754,0.16805664584903118,0.11137253068263532,0.21615072183667594,0.10477819115404062,1.0,0.0,1.0,0.15127913153329914
