left,right,same_family,same_source_location,same_direction_base,same_sign,dose_left,dose_right,same_dose,dose_difference,dose_mean,delta_norm_difference,delta_norm_mean,semantic_movement_difference,semantic_movement_mean,behavioral_D,M0_FLAT,M1_WHITENED,M2_FINITE_SECANT
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,4.040900587227825,9.839410880462946,0.0,0.0,0.016666666666666666,1.0610441716526302,1.0839662483279806,0.020670220770200025
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_MEDIUM,False,0.25,0.375,15.900761761304683,15.769341467501375,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.6953422267500988,1.6807787398958147,0.04766648578549513
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_LOW,True,0.0,0.25,1.2481922902710396,8.443056731984553,0.0,0.0,0.016666666666666666,1.430668314312259,1.4431246569341645,0.022798822018812382
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_LOW,True,0.0,0.25,1.2481922902710396,8.443056731984553,0.0,0.0,0.0,1.3975650877232586,1.3846989653165234,0.026105712161325435
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,0.2428864757524538,7.94040382472526,0.0,0.0,0.008333333333333333,1.0306143760835262,1.0838140265480707,0.018250499632595726
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_HIGH,False,0.5,0.5,16.366580600955427,16.002250887326745,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.7140110874232886,1.680876900863849,0.04440358811675246
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_MINUS,False,False,False,False,D_VERY_HIGH,D_VERY_HIGH,True,0.0,1.0,1.4949480721890502,32.02331638349066,0.0,0.16666666666666666,0.008333333333333333,1.3346185469271779,1.3472171901927597,0.08038987277011835
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_PLUS,False,False,False,True,D_VERY_HIGH,D_LOW,False,0.75,0.625,23.083144742499837,19.734269976146216,0.16666666666666666,0.08333333333333333,0.0,1.4895614570060505,1.4781765261460236,0.05895306818580105
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_MINUS,False,True,False,False,D_VERY_HIGH,D_MEDIUM,False,0.5,0.75,2.6015763645703984,29.975054165110933,0.0,0.16666666666666666,0.03333333333333333,1.6645375952819035,1.617454936071758,0.09799733433053379
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_PLUS,False,True,False,True,D_VERY_HIGH,D_HIGH,False,0.25,0.875,11.73555662684247,37.14362066081737,0.08333333333333334,0.20833333333333331,0.016666666666666666,1.1087446026444223,1.176367089720341,0.062306190546164694
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_MINUS,False,False,False,False,D_VERY_HIGH,D_LOW,False,0.75,0.625,19.853314628033253,21.349185033379506,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.385776268341662,1.3672728144045516,0.0662056714298224
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_PLUS,False,False,False,True,D_VERY_HIGH,D_LOW,False,0.75,0.625,19.853314628033253,21.349185033379506,0.16666666666666666,0.08333333333333333,-0.008333333333333333,1.4420901962433064,1.459645522375298,0.053728294831083816
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_MINUS,False,True,False,False,D_VERY_HIGH,D_MEDIUM,False,0.5,0.75,2.124086093888561,32.33788539434041,0.0,0.16666666666666666,0.03333333333333333,1.6638773456767955,1.6123171032864674,0.11641030549441192
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_PLUS,False,True,False,True,D_VERY_HIGH,D_VERY_HIGH,True,0.0,1.0,35.52401453517325,49.03784961498276,0.0,0.16666666666666666,0.016666666666666666,1.1097351839711769,1.1833991543219622,0.12244072034812817
