statistic,bin_left,bin_right,count,density
global_equal_shell_mean,0.46536052577695547,0.46744869301558284,89,0.852422146594954
global_equal_shell_mean,0.46744869301558284,0.46953686025421026,109,1.04397768515559
global_equal_shell_mean,0.46953686025421026,0.47162502749283763,120,1.1493332313639828
global_equal_shell_mean,0.47162502749283763,0.47371319473146506,137,1.3121554391405124
global_equal_shell_mean,0.47371319473146506,0.47580136197009243,157,1.503710977701211
global_equal_shell_mean,0.47580136197009243,0.47788952920871985,196,1.8772442778944556
global_equal_shell_mean,0.47788952920871985,0.4799776964473472,207,1.9825998241028704
global_equal_shell_mean,0.4799776964473472,0.4820658636859746,223,2.1358442549514014
global_equal_shell_mean,0.4820658636859746,0.484154030924602,292,2.796710862985617
global_equal_shell_mean,0.484154030924602,0.48624219816322944,283,2.710510870633321
global_equal_shell_mean,0.48624219816322944,0.4883303654018568,345,3.304333040171451
global_equal_shell_mean,0.4883303654018568,0.4904185326404842,374,3.5820885710844133
global_equal_shell_mean,0.4904185326404842,0.4925066998791116,397,3.8023774404290758
global_equal_shell_mean,0.4925066998791116,0.494594867117739,455,4.3578885022551015
global_equal_shell_mean,0.494594867117739,0.4966830343563664,464,4.444088494607282
global_equal_shell_mean,0.4966830343563664,0.4987712015949938,515,4.932555117937093
global_equal_shell_mean,0.4987712015949938,0.5008593688336211,543,5.200732871922022
global_equal_shell_mean,0.5008593688336211,0.5029475360722486,694,6.646977188054682
global_equal_shell_mean,0.5029475360722486,0.505035703310876,666,6.378799434070105
global_equal_shell_mean,0.505035703310876,0.5071238705495034,672,6.436266095638304
global_equal_shell_mean,0.5071238705495034,0.5092120377881307,774,7.413199342297689
global_equal_shell_mean,0.5092120377881307,0.5113002050267581,799,7.652643765498519
global_equal_shell_mean,0.5113002050267581,0.5133883722653856,847,8.112377058043682
global_equal_shell_mean,0.5133883722653856,0.515476539504013,957,9.165932520127763
global_equal_shell_mean,0.515476539504013,0.5175647067426403,1025,9.81722135123402
global_equal_shell_mean,0.5175647067426403,0.5196528739812677,1071,10.257799089923546
global_equal_shell_mean,0.5196528739812677,0.5217410412198952,1048,10.03751022057825
global_equal_shell_mean,0.5217410412198952,0.5238292084585225,1125,10.774999044037338
global_equal_shell_mean,0.5238292084585225,0.5259173756971499,1153,11.04317679802227
global_equal_shell_mean,0.5259173756971499,0.5280055429357773,1190,11.397554544359497
global_equal_shell_mean,0.5280055429357773,0.5300937101744048,1254,12.010532267752984
global_equal_shell_mean,0.5300937101744048,0.5321818774130321,1247,11.94348782925739
global_equal_shell_mean,0.5321818774130321,0.5342700446516595,1380,13.217332160685803
global_equal_shell_mean,0.5342700446516595,0.5363582118902869,1270,12.163776698602152
global_equal_shell_mean,0.5363582118902869,0.5384463791289142,1330,12.738443314284144
global_equal_shell_mean,0.5384463791289142,0.5405345463675417,1372,13.14070994526084
global_equal_shell_mean,0.5405345463675417,0.5426227136061691,1368,13.102398837549405
global_equal_shell_mean,0.5426227136061691,0.5447108808447965,1306,12.508576668011347
global_equal_shell_mean,0.5447108808447965,0.5467990480834239,1293,12.384065567946259
global_equal_shell_mean,0.5467990480834239,0.5488872153220513,1382,13.23648771454187
global_equal_shell_mean,0.5488872153220513,0.5509753825606787,1287,12.326598906378717
global_equal_shell_mean,0.5509753825606787,0.553063549799306,1269,12.15419892167412
global_equal_shell_mean,0.553063549799306,0.5551517170379334,1218,11.665732298344427
global_equal_shell_mean,0.5551517170379334,0.5572398842765609,1302,12.470265560298552
global_equal_shell_mean,0.5572398842765609,0.5593280515151883,1228,11.761510067624759
global_equal_shell_mean,0.5593280515151883,0.5614162187538156,1206,11.550798975208028
global_equal_shell_mean,0.5614162187538156,0.563504385992443,1042,9.980043559010584
global_equal_shell_mean,0.563504385992443,0.5655925532310704,972,9.30959917404826
global_equal_shell_mean,0.5655925532310704,0.5676807204696979,965,9.242554735551538
global_equal_shell_mean,0.5676807204696979,0.5697688877083252,931,8.9169103199989
global_equal_shell_mean,0.5697688877083252,0.5718570549469526,848,8.121954834972145
global_equal_shell_mean,0.5718570549469526,0.5739452221855801,775,7.422777119225328
global_equal_shell_mean,0.5739452221855801,0.5760333894242075,732,7.0109327113202955
global_equal_shell_mean,0.5760333894242075,0.5781215566628348,646,6.187243895509441
global_equal_shell_mean,0.5781215566628348,0.5802097239014622,642,6.148932787797309
global_equal_shell_mean,0.5802097239014622,0.5822978911400896,571,5.468910625906952
global_equal_shell_mean,0.5822978911400896,0.584386058378717,467,4.472821825391263
global_equal_shell_mean,0.584386058378717,0.5864742256173444,421,4.032244086701973
global_equal_shell_mean,0.5864742256173444,0.5885623928559718,376,3.6012441249404796
global_equal_shell_mean,0.5885623928559718,0.5906505600945992,351,3.36179970173965
global_equal_shell_mean,0.5906505600945992,0.5927387273332265,298,2.854177524553891
global_equal_shell_mean,0.5927387273332265,0.594826894571854,292,2.796710862985543
global_equal_shell_mean,0.594826894571854,0.5969150618104814,239,2.2890886857999324
global_equal_shell_mean,0.5969150618104814,0.5990032290491087,202,1.9347109394627044
global_equal_shell_mean,0.5990032290491087,0.6010913962877362,192,1.8389331701822749
global_equal_shell_mean,0.6010913962877362,0.6031795635263635,139,1.3313109929966844
global_equal_shell_mean,0.6031795635263635,0.605267730764991,132,1.264266554500314
global_equal_shell_mean,0.605267730764991,0.6073558980036183,109,1.0439776851556177
global_equal_shell_mean,0.6073558980036183,0.6094440652422457,97,0.9290443620192195
global_equal_shell_mean,0.6094440652422457,0.6115322324808732,75,0.7183332696024511
