fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_02,E0_vs_E1,0.1,3,1,0.0002157296164393982,0.05409659776922204,0.9999405565041576,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0.1,4,1,0.00023266371574940878,0.026163258793610922,0.9999760711337238,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.1,5,1,0.00014918057107370043,0.007304745128427825,0.9999822275468849,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0.1,6,1,7.012460865622245e-05,0.028454829623232314,0.9999739180677866,0.171875
G12_1_FIXTURE_02,E0_vs_E1,0.1,7,0,0.00022534404595157982,0.09299988428943351,0.9999402177888236,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.1,8,1,0.00016444069929517436,0.0061938452530974075,0.9999845679892118,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.1,0,1,0.00015424089381427486,0.03569478338529919,0.9999877722948817,0.140625
G12_1_FIXTURE_02,E1_vs_E2,0.1,1,1,0.00010856571313596974,0.007169648861770739,0.9999825977851914,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.1,2,1,0.0002459812922939056,0.05331620280030869,0.9999883310575052,0.20703125
G12_1_FIXTURE_02,E1_vs_E2,0.1,3,1,0.00024276936117712488,0.01695731174486781,0.9999578280424642,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.1,4,1,0.00015891876982746878,0.060711678838689664,0.9999829579385284,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.1,5,1,0.0001476621422811939,0.01965119228157164,0.9999823126785855,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.1,6,1,0.00012068158920350787,0.028848929596669848,0.9999750740311769,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.1,7,1,0.00015410136086790394,0.01774391573793821,0.9999528178167613,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.1,8,1,0.00010480434345582146,0.020750383711369835,0.9999889253979719,0.1875
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,0,1,0.00013308487529962917,0.04481996468829941,0.999986088970189,0.140625
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,1,1,0.00012616678642362803,0.05359184393366867,0.9999738748343581,0.1875
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,2,1,0.0002812093056209799,0.0035736463525406492,0.9999851151614637,0.1875
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,3,1,0.0003360658741295274,0.08874261977443965,0.9999508144260433,0.1875
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,4,1,0.00011155802648125343,0.0384098177922052,0.9999881121090087,0.125
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,5,1,0.00014183673740799442,0.0005799889324347163,0.9999816998448414,0.1875
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,6,1,0.00011978641857971904,0.007545117588456662,0.9999798135267041,0.125
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,7,1,0.00013005216150128288,0.08451199004092835,0.9999248600417437,0.15625
G12_1_FIXTURE_02,E0_vs_E1,97.8516893058,8,1,0.00014059160560372783,0.011431317009096276,0.999980915530217,0.15625
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,0,1,0.00019316459033276483,0.04904472817358041,0.9999816610101602,0.1875
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,1,1,0.0001703572470962869,0.0036379953728999936,0.9999695469235805,0.171875
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,2,1,0.0002482713078972736,0.003929932170921191,0.9999900998484758,0.138671875
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,3,1,0.0004695140582083422,0.01019893814206796,0.9999333229648881,0.203125
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,4,1,0.00011834605691449293,0.027569872639467974,0.9999887092488166,0.125
