fixture_id,dtype,layer,component,token_index,max_abs_difference,rms_difference
G12_1_FIXTURE_00,BF16,19,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,19,residual,6,0.5,0.02218879708131073
G12_1_FIXTURE_00,BF16,1,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,1,attention,6,0.00390625,0.0006157680030633225
G12_1_FIXTURE_00,BF16,1,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,1,mlp,6,0.015625,0.000806367931600963
G12_1_FIXTURE_00,BF16,1,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,1,residual,6,0.03125,0.0018016483551993876
G12_1_FIXTURE_00,BF16,20,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,20,attention,6,0.046875,0.0058905849822441
G12_1_FIXTURE_00,BF16,20,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,20,mlp,6,0.04296875,0.011049201987795628
G12_1_FIXTURE_00,BF16,20,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,20,residual,1,0.0,0.0
