route,S,N,R,K_reference,K_fresh,controller_split_role,subspace_sd,generic_random_mean,scenario,learned_advantage,measurement_sd,rejection_rate,wilson_low,wilson_high,mean_contrast,contrast_bias,contrast_sd,random_mean_interval_width_approx,leave_one_subspace_rejection_stability,minimum_attainable_p,minimum_attainable_p_after_one_deletion
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,MODEST_0_10,0.1,0.06,0.117,0.11261879430927252,0.12152830530970363,0.09838445540409545,-0.0016155445959045583,0.19842704442484574,0.1292366137106362,0.0554,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.19625,0.19080429699107898,0.20181236491300458,0.173039068816466,-0.008254409269903312,0.18800385013816198,0.1291751588869803,0.0992,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.47495,0.4680346563097064,0.48187496469670443,0.31695879400418986,-0.04562816216854876,0.1511576819623834,0.12940589361931792,0.27145,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.15,NULL,0.0,0.0862554346113913,0.05065,0.047696321199886975,0.053776261603734256,-8.443783647860084e-05,-8.443783647860084e-05,0.1334156367096708,0.08287725441113641,0.0252,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.15,MODEST_0_05,0.05,0.0862554346113913,0.09945,0.0953790762907885,0.10367476379375691,0.0493068140040485,-0.0006931859959515008,0.13415335259555836,0.08294966340868441,0.05225,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.15,MODEST_0_10,0.1,0.0862554346113913,0.1823,0.17701031781685755,0.18771170189319125,0.10086726289927163,0.000867262899271623,0.13282196115543532,0.0829477820745507,0.1035,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.15,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.0862554346113913,0.35895,0.35232959312085754,0.36562458025056954,0.1809160197920062,-0.0003774582943631144,0.1341089736995638,0.0828995504022711,0.2422,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.15,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.0862554346113913,0.8316,0.8263500832032948,0.8367225584842966,0.36365936747455746,0.001072411301818843,0.1344278849787275,0.08280105589101194,0.7125,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.35,NULL,0.0,0.0862554346113913,0.05115,0.04818207592646934,0.05429031484109578,0.001340622211104242,0.001340622211104242,0.1325658474418939,0.08296311638622134,0.0256,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.35,MODEST_0_05,0.05,0.0862554346113913,0.0969,0.09287727041576219,0.10107754905266936,0.05046983522589177,0.0004698352258917654,0.13336358939636872,0.08292147991154242,0.0511,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.35,MODEST_0_10,0.1,0.0862554346113913,0.1796,0.17434183703961564,0.1849812196651362,0.10133899390012785,0.001338993900127844,0.13392942700624577,0.08292640288833626,0.10475,0.025,0.02564102564102564
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,0.1,0.35,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.0862554346113913,0.367,0.3603462638464236,0.3737048177445002,0.181532197731016,0.00023871964464669548,0.13434279337641147,0.0828376489350069,0.2458,0.025,0.02564102564102564
