scenario,nominal_rho,N,repetitions,achieved_true_rho_mean,observed_rho_mean,observed_rho_q025,observed_rho_q975,observed_interval_width,estimation_bias,estimation_rmse,median_item_bootstrap_width,bootstrap_lower_positive_rate,global_qap_rejection_rate,m2_maxT_rejection_rate,family_3of4_rate,family_4of4_rate,both_shells_positive_rate,lodo_8of8_rate,lodo_7of8_rate,rho_gate_rate,recommended_full_gate_rate
HETEROGENEOUS,0.3,400,240,0.30336174242424246,0.22942662171432282,-0.045361064532575796,0.41941570625327296,0.4647767707858488,-0.07393512070991956,0.13789332511577607,0.2980878496503497,0.6958333333333333,0.2375,0.16666666666666666,0.9041666666666667,0.5791666666666667,0.7958333333333333,0.7333333333333333,0.8958333333333334,0.4791666666666667,0.16666666666666666
HETEROGENEOUS,0.4,200,240,0.39995629370629365,0.25409993727606006,-0.0681076631337844,0.4831526310786325,0.5512602942124168,-0.14585635643023362,0.20265764627170277,0.3445804195804195,0.6375,0.39166666666666666,0.25833333333333336,0.9041666666666667,0.6458333333333334,0.7625,0.75,0.8625,0.5625,0.25416666666666665
HETEROGENEOUS,0.4,300,240,0.39995629370629365,0.2772936169994749,-0.016891463179418264,0.48627259762421665,0.503164060803635,-0.12266267670681885,0.174627638185245,0.3187390734265733,0.7166666666666667,0.3875,0.2833333333333333,0.925,0.6958333333333333,0.875,0.7958333333333333,0.9083333333333333,0.6541666666666667,0.2791666666666667
HETEROGENEOUS,0.4,400,240,0.39995629370629365,0.2902039525466143,0.00028512505550182536,0.4842225979758134,0.4839374729203116,-0.10975234115967941,0.1644235177117687,0.30710227272727275,0.7375,0.375,0.26666666666666666,0.95,0.7541666666666667,0.9041666666666667,0.825,0.9166666666666666,0.7125,0.25833333333333336
ONE_WEAK_FAMILY,0.0,200,240,-0.004749417249417248,0.002670417552508721,-0.26190615469850026,0.30398743802773776,0.5658935927262381,0.007419834801925969,0.12798789415479533,0.3311953671328671,0.0875,0.05416666666666667,0.016666666666666666,0.375,0.10416666666666667,0.20416666666666666,0.1625,0.2625,0.05416666666666667,0.016666666666666666
ONE_WEAK_FAMILY,0.0,300,240,-0.004749417249417248,-0.003936405567902482,-0.2839025912749849,0.2946086935684111,0.578511284843396,0.0008130116815147673,0.12087992366769167,0.3031140734265735,0.10833333333333334,0.0375,0.0125,0.37083333333333335,0.10416666666666667,0.25,0.17083333333333334,0.2875,0.05,0.0125
ONE_WEAK_FAMILY,0.0,400,240,-0.004749417249417248,-0.004943878999620982,-0.30481912578915454,0.2625752722041731,0.5673943979933276,-0.0001944617502037324,0.11259487641118464,0.2929086538461539,0.1125,0.041666666666666664,0.008333333333333333,0.3625,0.09583333333333334,0.24583333333333332,0.16666666666666666,0.3,0.029166666666666667,0.008333333333333333
ONE_WEAK_FAMILY,0.1,200,240,0.12093569773813893,0.07269986544521431,-0.1442358419680354,0.308901410823999,0.45313725279203443,-0.048235832292924635,0.12380261626713832,0.3348448426573426,0.17916666666666667,0.025,0.008333333333333333,0.5625,0.19166666666666668,0.36666666666666664,0.325,0.4583333333333333,0.075,0.008333333333333333
ONE_WEAK_FAMILY,0.1,300,240,0.12093569773813893,0.08465510300245103,-0.1161925876325261,0.32428410181551137,0.4404766894480375,-0.03628059473568791,0.1099749009885512,0.3115930944055944,0.21666666666666667,0.058333333333333334,0.020833333333333332,0.5875,0.19166666666666668,0.4125,0.2875,0.5,0.06666666666666667,0.020833333333333332
ONE_WEAK_FAMILY,0.1,400,240,0.12093569773813893,0.09028514340182872,-0.10258267197966169,0.3037938734397281,0.4063765454193898,-0.03065055433631025,0.10066344609146131,0.293902972027972,0.24166666666666667,0.058333333333333334,0.020833333333333332,0.5916666666666667,0.2,0.375,0.3125,0.525,0.075,0.020833333333333332
